zipcode,lat,lon,population,land,density
1606,42.311834,-71.794465,19077,15.35862949,1242.103015
1607,42.226452,-71.792506,8351,8.199902356,1018.426761
1608,42.293501,-71.925696,3888,1.160314673,3350.815162
1609,42.282565,-71.827685,22421,9.89375458,2266.177094
1610,42.246483,-71.808915,23945,5.506314722,4348.64355
1611,42.239392,-71.878716,2242,8.914739075,251.4936199
1612,42.304675,-71.892875,4845,39.6656679,122.1459326
1701,42.446396,-71.459405,31217,43.92360836,710.7111908
1702,42.446396,-71.459405,37206,20.95818379,1775.249248
1718,42.446396,-71.459405,469,0.121729441,3852.806646
1719,42.446396,-71.459405,4996,26.6406177,187.5331892
1720,42.446396,-71.459405,21361,51.05643561,418.3801659
1721,42.446396,-71.459405,16593,31.9345534,519.5939268
1730,42.446396,-71.459405,13221,35.47765713,372.6570769
1731,42.446396,-71.459405,1396,2.048680595,681.4141762
1740,42.436043,-71.605916,4897,51.67544277,94.76454845
1741,42.446396,-71.459405,4852,39.5361685,122.7230707
1742,42.446396,-71.459405,17726,63.31484934,279.9659193
1745,42.293442,-71.502762,397,1.033405256,384.1668094
1746,42.446396,-71.459405,13547,48.29032831,280.5323648
1747,42.127515,-71.533138,5911,13.39282852,441.35561
1748,42.446396,-71.459405,14925,68.01567776,219.4347023
1749,42.446396,-71.459405,19063,29.841843,638.8010284
1752,42.446396,-71.459405,38499,54.0426919,712.3812424
1754,42.446396,-71.459405,10106,13.50160802,748.5034366
1756,42.100352,-71.546961,5839,46.03444867,126.8397943
1757,42.147087,-71.528085,28061,38.53902308,728.1191312
1760,42.446396,-71.459405,32786,38.3603139,854.6853941
1770,42.446396,-71.459405,4119,40.96584194,100.5471829
1772,42.296842,-71.533229,9370,35.26527811,265.7004426
1773,42.446396,-71.459405,5112,35.27563806,144.9158763
1775,42.446396,-71.459405,6590,44.84046415,146.9654725
1776,42.446396,-71.459405,17659,62.7787218,281.2895754
1778,42.446396,-71.459405,13109,39.38853918,332.8125458
1801,42.488595,-71.157271,38903,32.77370954,1187.018514
1803,42.504844,-71.201539,24487,30.29250093,808.3518773
1810,42.647991,-71.165685,33201,79.89854321,415.5394913
1821,42.446396,-71.459405,30310,42.91092301,706.3469596
1824,42.446396,-71.459405,24911,45.97228895,541.8699083
1826,42.446396,-71.459405,29422,53.42368474,550.7295152
1827,42.446396,-71.459405,3179,42.62084434,74.587917
1830,42.792639,-71.072501,25137,35.73665594,703.3954168
1832,42.789627,-71.126562,22060,29.42226493,749.7723256
1833,42.72377,-70.981298,8183,33.30724709,245.6822678
1834,42.751074,-71.021437,6459,23.00945437,280.7106981
1835,42.752844,-71.084301,13682,20.23039713,676.3090173
1840,42.70734,-71.161052,4733,1.289814079,3669.521118
1841,42.70979,-71.164402,47225,8.000473272,5902.775798
1843,42.71037,-71.088303,24425,8.725669943,2799.211999
1844,42.73184,-71.186915,47249,57.54694582,821.0513926
1845,42.672835,-71.087689,28352,68.13481721,416.116182
1850,42.446396,-71.459405,15237,3.52238383,4325.763669
1851,42.446396,-71.459405,30190,8.645380311,3492.038397
1852,42.446396,-71.459405,33508,12.82821111,2612.055548
1854,42.446396,-71.459405,27606,10.18901322,2709.388965
1860,42.802441,-71.0896,6338,21.90611943,289.3255475
1862,42.446396,-71.459405,10227,23.93408012,427.2986447
1863,42.446396,-71.459405,8891,11.96574507,743.0377256
1864,42.581332,-71.083725,14892,34.03244377,437.5824464
1867,42.537065,-71.107172,23956,25.73412186,930.9041175
1876,42.446396,-71.459405,28667,52.98856674,541.0034987
1879,42.446396,-71.459405,11305,43.46518046,260.0932489
1880,42.499891,-71.068829,24733,17.89163786,1382.377633
1886,42.446396,-71.459405,21951,78.39117013,280.0187823
1887,42.561782,-71.173888,22325,43.97281813,507.7000053
